supplier_id,supplier_name,supplier_country,category,total_spend,po_count,on_time_rate,late_rate,avg_delay_days,reject_rate,price_volatility,off_contract_share,risk_score,risk_tier
SUP-031,Hanseatic Circuits,Germany,Electronics,340737.54000000004,18,0.8333333333333334,0.16666666666666663,0.4444444444444444,0.0,0.6425682185553261,0.2222222222222222,34.6,Low
SUP-100,Cascade Advisory,USA,Professional Services,1677254.91,174,0.896551724137931,0.10344827586206895,0.22413793103448276,0.022988505747126436,0.34982125830671823,0.16666666666666663,34.5,Low
SUP-081,Redwood Specialty Chem,USA,Chemicals,2558860.68,471,0.8938428874734607,0.10615711252653925,0.2760084925690021,0.021231422505307854,0.46129321795404693,0.1698513800424628,34.4,Low
SUP-042,Cascade Maintenance Co,USA,MRO,229228.0,93,0.8709677419354839,0.12903225806451613,0.4838709677419355,0.010752688172043012,0.7810149897303608,0.19354838709677424,34.3,Low
SUP-091,Frontier Chem Industries,USA,Chemicals,171617.89,31,0.9032258064516129,0.09677419354838712,0.16129032258064516,0.03225806451612903,0.4446832853899198,0.09677419354838712,34.2,Low
SUP-032,Lotus Components,India,Electronics,11105069.03,693,0.9004329004329005,0.09956709956709953,0.2741702741702742,0.024531024531024532,0.7844474950167403,0.13997113997113997,34.0,Low
SUP-103,Cascade Consulting,USA,Professional Services,1482987.6,156,0.8589743589743589,0.14102564102564108,0.38461538461538464,0.01282051282051282,0.36188350162932037,0.14743589743589747,34.0,Low
SUP-052,Del Norte Logistics,Mexico,Logistics,3259532.52,718,0.8997214484679665,0.10027855153203347,0.2646239554317549,0.023676880222841225,0.8761874235675295,0.14345403899721454,33.9,Low
SUP-040,Ganga MRO Services,India,MRO,3252242.39,1107,0.8807588075880759,0.1192411924119241,0.3107497741644083,0.018066847335140017,0.77750253020838,0.1400180668473351,33.7,Low
SUP-041,Bergmann Maintenance Co,Germany,MRO,248742.74,96,0.875,0.125,0.34375,0.010416666666666666,0.7302649393718268,0.1875,33.6,Low
SUP-083,Krakow Chemicals,Poland,Chemicals,11017400.63,1732,0.894919168591224,0.105080831408776,0.27136258660508084,0.018475750577367205,0.48286787615720766,0.15415704387990758,33.4,Low
SUP-102,Frontier Consulting,USA,Professional Services,5689957.03,710,0.9112676056338028,0.08873239436619718,0.23943661971830985,0.023943661971830985,0.3631885063210184,0.1394366197183099,33.3,Low
SUP-045,Thames MRO Services,UK,MRO,468904.38,177,0.8983050847457628,0.10169491525423724,0.23728813559322035,0.022598870056497175,0.7953269659701201,0.12429378531073443,33.3,Low
SUP-036,Golden Dragon Components,China,Electronics,11943662.41,640,0.875,0.125,0.3171875,0.015625,0.7999048738508355,0.13124999999999998,33.3,Low
SUP-034,Pacific Rim Circuits,China,Electronics,12181112.88,690,0.8927536231884058,0.10724637681159421,0.2753623188405797,0.014492753623188406,0.7722017845145176,0.1681159420289855,33.0,Low
SUP-097,Azteca Advisory,Mexico,Professional Services,10907185.71,1247,0.8933440256615878,0.10665597433841223,0.25020048115477145,0.019246190858059342,0.3572701364602903,0.12910986367281474,32.9,Low
SUP-095,Busan Machinery,South Korea,Machinery,12149653.63,1353,0.885439763488544,0.11456023651145597,0.2675535846267554,0.015521064301552107,0.5631993088599728,0.1374722838137472,32.8,Low
SUP-056,Apex Shipping Lines,USA,Logistics,1170242.79,206,0.8980582524271845,0.10194174757281549,0.20388349514563106,0.019417475728155338,0.8509486979001083,0.13592233009708743,32.8,Low
SUP-082,Himalaya Chemicals,India,Chemicals,1629892.92,304,0.8947368421052632,0.10526315789473684,0.27960526315789475,0.019736842105263157,0.4746581372056942,0.12171052631578949,32.8,Low
SUP-051,Shenzhou Transport,China,Logistics,10012041.29,2212,0.8847197106690777,0.11528028933092227,0.2897830018083183,0.014918625678119348,0.8948001370668957,0.13245931283905965,32.6,Low
SUP-028,Summit Components,USA,Electronics,21206582.0,1144,0.8872377622377622,0.11276223776223782,0.25524475524475526,0.013111888111888112,0.7844433760781951,0.14597902097902093,32.4,Low
SUP-002,Taegu Alloys,South Korea,Raw Materials,83912380.83,4172,0.8914189837008629,0.10858101629913708,0.2579098753595398,0.014621284755512944,1.0253339965519628,0.13710450623202297,32.3,Low
SUP-016,Great Wall Containers,China,Packaging,24672186.74,5384,0.8985884101040119,0.10141158989598809,0.26411589895988113,0.014673105497771174,1.610015839412738,0.14784546805349186,32.2,Low
SUP-098,Bergmann Advisory,Germany,Professional Services,1020659.07,132,0.8863636363636364,0.11363636363636365,0.25,0.015151515151515152,0.3746608244323893,0.12121212121212122,32.2,Low
SUP-069,Apex Supplies Co,USA,Office Supplies,135677.66,155,0.864516129032258,0.13548387096774195,0.27741935483870966,0.0064516129032258064,0.703542106606194,0.1483870967741936,32.2,Low
SUP-093,Albion Chem Industries,UK,Chemicals,9495512.06,1529,0.9025506867233486,0.0974493132766514,0.22302158273381295,0.016350555918901243,0.48688428679297535,0.145192936559843,32.2,Low
SUP-005,Pioneer Resources,USA,Raw Materials,2972062.85,127,0.8740157480314961,0.12598425196850394,0.33070866141732286,0.007874015748031496,1.0028721732920005,0.1417322834645669,32.0,Low
SUP-038,Bergmann MRO Services,Germany,MRO,5403804.6,1820,0.8972527472527473,0.10274725274725272,0.23956043956043957,0.013736263736263736,0.7823270655472929,0.14450549450549455,32.0,Low
SUP-037,Liberty MRO Services,USA,MRO,136771.16,46,0.8478260869565217,0.15217391304347827,0.391304347826087,0.0,0.861731198906365,0.15217391304347827,32.0,Low
SUP-079,Great Wall Workplace,China,Office Supplies,1010624.74,925,0.9048648648648648,0.09513513513513516,0.21513513513513513,0.016216216216216217,0.6659795073327573,0.13945945945945948,31.9,Low
SUP-090,Nippon Chem Industries,Japan,Chemicals,363398.56,56,0.9464285714285714,0.0535714285714286,0.07142857142857142,0.017857142857142856,0.48590224606536897,0.2142857142857143,31.9,Low
SUP-025,Cascade Semitech,USA,Electronics,16010733.91,855,0.895906432748538,0.10409356725146202,0.2409356725146199,0.014035087719298246,0.8101686884511297,0.13216374269005848,31.8,Low
SUP-022,Redwood Components,USA,Electronics,8084096.02,469,0.8827292110874201,0.11727078891257992,0.27505330490405117,0.008528784648187633,0.7719316789429116,0.14925373134328357,31.8,Low
SUP-050,Redwood Freight,USA,Logistics,4566720.9,1047,0.8987583572110793,0.10124164278892067,0.23209169054441262,0.011461318051575931,0.9239552136236023,0.15568290353390635,31.7,Low
SUP-033,Busan Components,South Korea,Electronics,7735372.63,479,0.8977035490605428,0.10229645093945716,0.24217118997912318,0.012526096033402923,0.7943717581500169,0.14613778705636749,31.7,Low
SUP-039,Redwood Maintenance Co,USA,MRO,875849.45,346,0.9132947976878613,0.08670520231213874,0.2254335260115607,0.014450867052023121,0.772600162678326,0.1560693641618497,31.6,Low
SUP-072,Krakow Office Products,Poland,Office Supplies,2613675.05,2462,0.8976441917140536,0.10235580828594637,0.23639317627944761,0.010966693744922826,0.6715232063465387,0.15272136474411047,31.6,Low
SUP-061,Shenzhou IT Solutions,China,IT Services,5083778.69,715,0.9006993006993007,0.09930069930069929,0.23216783216783216,0.015384615384615385,0.6467893530088054,0.12447552447552446,31.6,Low
SUP-044,Mekong Maintenance Co,Vietnam,MRO,908607.45,345,0.8985507246376812,0.10144927536231885,0.2289855072463768,0.011594202898550725,0.7974001147791688,0.14782608695652177,31.5,Low
SUP-070,Hanseatic Workplace,Germany,Office Supplies,16387.47,18,0.8888888888888888,0.11111111111111116,0.2222222222222222,0.0,0.7170400504819776,0.2222222222222222,31.4,Low
SUP-019,Adler Packaging,Germany,Packaging,252265.79,47,0.8297872340425532,0.17021276595744683,0.425531914893617,0.0,1.4151027363224065,0.08510638297872342,31.3,Low
SUP-074,Jade Harbor Workplace,China,Office Supplies,144871.05,156,0.8910256410256411,0.10897435897435892,0.30128205128205127,0.00641025641025641,0.6435166123187405,0.16025641025641024,31.2,Low
SUP-024,Sterling Components,USA,Electronics,5970367.25,330,0.8878787878787879,0.11212121212121207,0.30606060606060603,0.00909090909090909,0.7823927396416474,0.12424242424242427,31.1,Low
SUP-004,Azteca Alloys,Mexico,Raw Materials,1426125.23,67,0.9104477611940298,0.08955223880597019,0.208955223880597,0.0,1.1032319752683202,0.25373134328358204,31.1,Low
SUP-060,Halong IT Solutions,Vietnam,IT Services,1161818.86,172,0.8837209302325582,0.11627906976744184,0.31976744186046513,0.005813953488372093,0.6593477601025448,0.13953488372093026,31.0,Low
SUP-057,Bharat Digital Systems,India,IT Services,11565869.77,1649,0.908429351121892,0.09157064887810795,0.20921770770163736,0.012734990903577926,0.6443005202392084,0.13220133414190416,30.9,Low
SUP-049,Han River Freight,South Korea,Logistics,237036.07,59,0.8813559322033898,0.11864406779661019,0.3220338983050847,0.0,0.9000464695197743,0.1694915254237288,30.7,Low
SUP-054,Great Wall Shipping Lines,China,Logistics,1741708.3699999999,370,0.9027027027027027,0.0972972972972973,0.21351351351351353,0.010810810810810811,0.8850245134495932,0.1324324324324324,30.7,Low
SUP-055,Baltic Freight,Poland,Logistics,2753904.93,560,0.9267857142857143,0.07321428571428568,0.16607142857142856,0.019642857142857142,0.872386499666282,0.10535714285714282,30.6,Low
SUP-092,Apex Specialty Chem,USA,Chemicals,1465396.92,259,0.8996138996138996,0.10038610038610041,0.28957528957528955,0.007722007722007722,0.4906706578997519,0.1428571428571429,30.6,Low
SUP-010,Pacific Rim Materials,China,Raw Materials,2794370.23,128,0.8984375,0.1015625,0.15625,0.0,0.9943836748566643,0.203125,30.4,Low
SUP-035,Pacific Rim Semitech,China,Electronics,3134437.0,181,0.8895027624309392,0.11049723756906082,0.19889502762430938,0.0055248618784530384,0.8087400235088722,0.13812154696132595,30.4,Low
SUP-047,Sierra Transport,Mexico,Logistics,152757.48,35,0.9714285714285714,0.02857142857142858,0.02857142857142857,0.02857142857142857,1.0656201957738396,0.11428571428571432,30.3,Low
SUP-009,Schwarzwald Metals,Germany,Raw Materials,4548352.31,226,0.9026548672566371,0.09734513274336287,0.2168141592920354,0.008849557522123894,0.9875805286400319,0.12831858407079644,30.2,Low
SUP-096,Pioneer Engineering Works,USA,Machinery,221238.84,28,0.8928571428571429,0.1071428571428571,0.17857142857142858,0.0,0.5718729144947492,0.1785714285714286,30.1,Low
SUP-059,Azteca Technologies,Mexico,IT Services,4325802.42,591,0.9001692047377327,0.09983079526226735,0.26903553299492383,0.01015228426395939,0.6431678381628768,0.10321489001692052,30.1,Low
SUP-053,Sterling Shipping Lines,USA,Logistics,1349961.36,290,0.8896551724137931,0.1103448275862069,0.33793103448275863,0.0034482758620689655,0.8709237011782223,0.1344827586206897,30.1,Low
SUP-101,Cascade Partners,USA,Professional Services,81096.7,10,1.0,0.0,0.0,0.0,0.39489126593479307,0.4,30.0,Low
SUP-105,Krakow Consulting,Poland,Professional Services,6606243.68,708,0.8954802259887006,0.10451977401129942,0.23728813559322035,0.00847457627118644,0.3706786293202658,0.09887005649717517,29.8,Low
SUP-073,Kansai Supplies Co,Japan,Office Supplies,56781.73,51,0.9019607843137255,0.0980392156862745,0.11764705882352941,0.0,0.6528883494581241,0.17647058823529416,29.5,Low
SUP-020,Pacific Rim Pack Solutions,China,Packaging,46084.99,12,0.8333333333333334,0.16666666666666663,0.6666666666666666,0.0,1.7666162715425449,0.0,29.3,Low
SUP-076,Golden Dragon Supplies Co,China,Office Supplies,55800.73,59,0.9152542372881356,0.0847457627118644,0.2033898305084746,0.0,0.6348077398809866,0.18644067796610164,29.2,Low
SUP-086,Summit Chem Industries,USA,Chemicals,134862.68,25,0.92,0.07999999999999996,0.16,0.0,0.6590818863186498,0.19999999999999996,29.2,Low
SUP-077,Bergmann Supplies Co,Germany,Office Supplies,116641.33,121,0.9090909090909091,0.09090909090909094,0.1487603305785124,0.0,0.651378973216269,0.17355371900826444,29.1,Low
SUP-013,Frontier Packaging,USA,Packaging,33797.3,6,0.8333333333333334,0.16666666666666663,0.3333333333333333,0.0,1.3349292026407642,0.0,28.8,Low
SUP-048,Mekong Logistics,Vietnam,Logistics,324352.72,59,0.8983050847457628,0.10169491525423724,0.1694915254237288,0.0,0.8146841830642555,0.13559322033898302,28.7,Low
SUP-014,Fujikawa Pack Solutions,Japan,Packaging,123286.53,30,0.9,0.09999999999999998,0.5333333333333333,0.0,2.2225853481089186,0.09999999999999998,28.3,Low
SUP-062,Liberty Technologies,USA,IT Services,561670.9,79,0.8860759493670886,0.11392405063291144,0.25316455696202533,0.0,0.5641726888378144,0.08860759493670889,28.3,Low
SUP-068,Mekong Supplies Co,Vietnam,Office Supplies,24136.62,23,0.9130434782608695,0.08695652173913049,0.17391304347826086,0.0,0.7775287291705358,0.13043478260869568,27.9,Low
SUP-007,Cascade Materials,USA,Raw Materials,802591.36,38,0.9210526315789473,0.07894736842105265,0.21052631578947367,0.0,1.0464309122283395,0.13157894736842102,27.6,Low
SUP-001,Jade Harbor Materials,China,Raw Materials,2180952.04,107,0.9345794392523364,0.06542056074766356,0.12149532710280374,0.009345794392523364,1.0734953579695266,0.08411214953271029,27.5,Low
SUP-065,Summit Technologies,USA,IT Services,236963.28,35,0.9428571428571428,0.05714285714285716,0.05714285714285714,0.0,0.7601064559791965,0.17142857142857137,27.2,Low
SUP-075,Lotus Office Products,India,Office Supplies,44062.01,42,0.9047619047619048,0.09523809523809523,0.19047619047619047,0.0,0.6281046976909105,0.0714285714285714,26.8,Low
SUP-027,Golden Dragon Circuits,China,Electronics,1286274.39,71,0.9436619718309859,0.05633802816901412,0.09859154929577464,0.0,0.7756333202485497,0.15492957746478875,26.8,Low
SUP-064,Sierra Technologies,Mexico,IT Services,113526.39,15,1.0,0.0,0.0,0.0,0.7108524681968111,0.2666666666666667,26.7,Low
SUP-104,Apex Consulting,USA,Professional Services,188833.89,21,0.9523809523809523,0.04761904761904767,0.047619047619047616,0.0,0.3420232122728678,0.1428571428571429,26.0,Low
SUP-021,Frontier Pack Solutions,USA,Packaging,127900.75,31,1.0,0.0,0.0,0.0,1.8216243023141645,0.16129032258064513,24.0,Low
SUP-066,Sterling Technologies,USA,IT Services,45419.78,7,1.0,0.0,0.0,0.0,0.553804759823436,0.1428571428571429,23.6,Low
