supplier_id,supplier_name,supplier_country,category,total_spend,po_count,on_time_rate,late_rate,avg_delay_days,reject_rate,price_volatility,off_contract_share,business_risk_score,business_risk_tier,anomaly_score,ai_anomaly_flag,final_risk_score,final_risk_tier
SUP-101,Cascade Partners,USA,Professional Services,81096.7000,10,1.0000,0.0000,0.0000,0.0000,0.3949,0.4000,30.0000,Low,91.5000,Normal,48.4000,Medium
SUP-067,Schwarzwald Workplace,Germany,Office Supplies,52130.3600,50,0.8400,0.1600,0.5200,0.0200,0.6696,0.2000,37.9000,Low,71.7000,Normal,48.0000,Medium
SUP-020,Pacific Rim Pack Solutions,China,Packaging,46084.9900,12,0.8333,0.1667,0.6667,0.0000,1.7666,0.0000,29.3000,Low,90.6000,Normal,47.7000,Medium
SUP-058,Del Norte Technologies,Mexico,IT Services,49721.2600,9,0.7778,0.2222,0.6667,0.0000,0.6125,0.1111,34.9000,Low,77.4000,Normal,47.6000,Medium
SUP-023,Schwarzwald Circuits,Germany,Electronics,1346224.7000,85,0.8941,0.1059,0.2941,0.0353,0.8625,0.2235,38.7000,Low,67.9000,Normal,47.5000,Medium
SUP-026,Great Wall Circuits,China,Electronics,1197009.9800,63,0.8095,0.1905,0.4921,0.0159,0.8698,0.1429,37.1000,Low,69.8000,Normal,46.9000,Medium
SUP-014,Fujikawa Pack Solutions,Japan,Packaging,123286.5300,30,0.9000,0.1000,0.5333,0.0000,2.2226,0.1000,28.3000,Low,88.7000,Normal,46.4000,Medium
SUP-071,Redwood Supplies Co,USA,Office Supplies,42677.9000,41,0.7805,0.2195,0.5366,0.0000,0.5697,0.1220,34.8000,Low,70.8000,Normal,45.6000,Medium
SUP-013,Frontier Packaging,USA,Packaging,33797.3000,6,0.8333,0.1667,0.3333,0.0000,1.3349,0.0000,28.8000,Low,84.0000,Normal,45.4000,Medium
SUP-047,Sierra Transport,Mexico,Logistics,152757.4800,35,0.9714,0.0286,0.0286,0.0286,1.0656,0.1143,30.3000,Low,80.2000,Normal,45.3000,Medium
SUP-019,Adler Packaging,Germany,Packaging,252265.7900,47,0.8298,0.1702,0.4255,0.0000,1.4151,0.0851,31.3000,Low,76.4000,Normal,44.8000,Low
SUP-090,Nippon Chem Industries,Japan,Chemicals,363398.5600,56,0.9464,0.0536,0.0714,0.0179,0.4859,0.2143,31.9000,Low,74.5000,Normal,44.7000,Low
SUP-099,Taegu Consulting,South Korea,Professional Services,561564.0600,65,0.8615,0.1385,0.2154,0.0308,0.3989,0.1077,36.3000,Low,64.2000,Normal,44.7000,Low
SUP-031,Hanseatic Circuits,Germany,Electronics,340737.5400,18,0.8333,0.1667,0.4444,0.0000,0.6426,0.2222,34.6000,Low,65.1000,Normal,43.8000,Low
SUP-064,Sierra Technologies,Mexico,IT Services,113526.3900,15,1.0000,0.0000,0.0000,0.0000,0.7109,0.2667,26.7000,Low,82.1000,Normal,43.3000,Low
SUP-021,Frontier Pack Solutions,USA,Packaging,127900.7500,31,1.0000,0.0000,0.0000,0.0000,1.8216,0.1613,24.0000,Low,87.7000,Normal,43.1000,Low
SUP-091,Frontier Chem Industries,USA,Chemicals,171617.8900,31,0.9032,0.0968,0.1613,0.0323,0.4447,0.0968,34.2000,Low,63.2000,Normal,42.9000,Low
SUP-042,Cascade Maintenance Co,USA,MRO,229228.0000,93,0.8710,0.1290,0.4839,0.0108,0.7810,0.1935,34.3000,Low,62.3000,Normal,42.7000,Low
SUP-016,Great Wall Containers,China,Packaging,24672186.7400,5384,0.8986,0.1014,0.2641,0.0147,1.6100,0.1478,32.2000,Low,67.0000,Normal,42.6000,Low
SUP-004,Azteca Alloys,Mexico,Raw Materials,1426125.2300,67,0.9104,0.0896,0.2090,0.0000,1.1032,0.2537,31.1000,Low,66.0000,Normal,41.6000,Low
SUP-003,Jade Harbor Alloys,China,Raw Materials,10388962.8500,456,0.8684,0.1316,0.3706,0.0175,1.0152,0.1667,35.0000,Low,56.6000,Normal,41.5000,Low
SUP-103,Cascade Consulting,USA,Professional Services,1482987.6000,156,0.8590,0.1410,0.3846,0.0128,0.3619,0.1474,34.0000,Low,58.5000,Normal,41.3000,Low
SUP-100,Cascade Advisory,USA,Professional Services,1677254.9100,174,0.8966,0.1034,0.2241,0.0230,0.3498,0.1667,34.5000,Low,54.7000,Normal,40.6000,Low
SUP-006,Adler Metals,Germany,Raw Materials,13568470.4600,581,0.8726,0.1274,0.2874,0.0275,1.0322,0.1291,35.8000,Low,51.9000,Normal,40.6000,Low
SUP-104,Apex Consulting,USA,Professional Services,188833.8900,21,0.9524,0.0476,0.0476,0.0000,0.3420,0.1429,26.0000,Low,72.6000,Normal,40.0000,Low
SUP-001,Jade Harbor Materials,China,Raw Materials,2180952.0400,107,0.9346,0.0654,0.1215,0.0093,1.0735,0.0841,27.5000,Low,68.9000,Normal,39.9000,Low
SUP-102,Frontier Consulting,USA,Professional Services,5689957.0300,710,0.9113,0.0887,0.2394,0.0239,0.3632,0.1394,33.3000,Low,53.8000,Normal,39.4000,Low
SUP-066,Sterling Technologies,USA,IT Services,45419.7800,7,1.0000,0.0000,0.0000,0.0000,0.5538,0.1429,23.6000,Low,75.5000,Normal,39.2000,Low
SUP-055,Baltic Freight,Poland,Logistics,2753904.9300,560,0.9268,0.0732,0.1661,0.0196,0.8724,0.1054,30.6000,Low,59.4000,Normal,39.2000,Low
SUP-087,Jade Harbor Specialty Chem,China,Chemicals,1379428.4800,242,0.8843,0.1157,0.2810,0.0289,0.4625,0.1612,36.3000,Low,45.3000,Normal,39.0000,Low
SUP-010,Pacific Rim Materials,China,Raw Materials,2794370.2300,128,0.8984,0.1016,0.1562,0.0000,0.9944,0.2031,30.4000,Low,57.5000,Normal,38.5000,Low
SUP-037,Liberty MRO Services,USA,MRO,136771.1600,46,0.8478,0.1522,0.3913,0.0000,0.8617,0.1522,32.0000,Low,50.0000,Normal,37.4000,Low
SUP-041,Bergmann Maintenance Co,Germany,MRO,248742.7400,96,0.8750,0.1250,0.3438,0.0104,0.7303,0.1875,33.6000,Low,46.2000,Normal,37.4000,Low
SUP-070,Hanseatic Workplace,Germany,Office Supplies,16387.4700,18,0.8889,0.1111,0.2222,0.0000,0.7170,0.2222,31.4000,Low,50.9000,Normal,37.2000,Low
SUP-065,Summit Technologies,USA,IT Services,236963.2800,35,0.9429,0.0571,0.0571,0.0000,0.7601,0.1714,27.2000,Low,60.4000,Normal,37.2000,Low
SUP-075,Lotus Office Products,India,Office Supplies,44062.0100,42,0.9048,0.0952,0.1905,0.0000,0.6281,0.0714,26.8000,Low,61.3000,Normal,37.1000,Low
SUP-105,Krakow Consulting,Poland,Professional Services,6606243.6800,708,0.8955,0.1045,0.2373,0.0085,0.3707,0.0989,29.8000,Low,52.8000,Normal,36.7000,Low
SUP-097,Azteca Advisory,Mexico,Professional Services,10907185.7100,1247,0.8933,0.1067,0.2502,0.0192,0.3573,0.1291,32.9000,Low,44.3000,Normal,36.3000,Low
SUP-081,Redwood Specialty Chem,USA,Chemicals,2558860.6800,471,0.8938,0.1062,0.2760,0.0212,0.4613,0.1699,34.4000,Low,38.7000,Normal,35.7000,Low
SUP-027,Golden Dragon Circuits,China,Electronics,1286274.3900,71,0.9437,0.0563,0.0986,0.0000,0.7756,0.1549,26.8000,Low,55.7000,Normal,35.5000,Low
SUP-086,Summit Chem Industries,USA,Chemicals,134862.6800,25,0.9200,0.0800,0.1600,0.0000,0.6591,0.2000,29.2000,Low,49.1000,Normal,35.2000,Low
SUP-098,Bergmann Advisory,Germany,Professional Services,1020659.0700,132,0.8864,0.1136,0.2500,0.0152,0.3747,0.1212,32.2000,Low,41.5000,Normal,35.0000,Low
SUP-005,Pioneer Resources,USA,Raw Materials,2972062.8500,127,0.8740,0.1260,0.3307,0.0079,1.0029,0.1417,32.0000,Low,39.6000,Normal,34.3000,Low
SUP-043,Great Wall Maintenance Co,China,MRO,886208.1600,294,0.8878,0.1122,0.3265,0.0238,0.8034,0.1429,34.6000,Low,33.0000,Normal,34.1000,Low
SUP-062,Liberty Technologies,USA,IT Services,561670.9000,79,0.8861,0.1139,0.2532,0.0000,0.5642,0.0886,28.3000,Low,47.2000,Normal,34.0000,Low
SUP-007,Cascade Materials,USA,Raw Materials,802591.3600,38,0.9211,0.0789,0.2105,0.0000,1.0464,0.1316,27.6000,Low,48.1000,Normal,33.8000,Low
SUP-073,Kansai Supplies Co,Japan,Office Supplies,56781.7300,51,0.9020,0.0980,0.1176,0.0000,0.6529,0.1765,29.5000,Low,43.4000,Normal,33.7000,Low
SUP-082,Himalaya Chemicals,India,Chemicals,1629892.9200,304,0.8947,0.1053,0.2796,0.0197,0.4747,0.1217,32.8000,Low,34.0000,Normal,33.2000,Low
SUP-076,Golden Dragon Supplies Co,China,Office Supplies,55800.7300,59,0.9153,0.0847,0.2034,0.0000,0.6348,0.1864,29.2000,Low,42.5000,Normal,33.2000,Low
SUP-096,Pioneer Engineering Works,USA,Machinery,221238.8400,28,0.8929,0.1071,0.1786,0.0000,0.5719,0.1786,30.1000,Low,40.6000,Normal,33.2000,Low
SUP-049,Han River Freight,South Korea,Logistics,237036.0700,59,0.8814,0.1186,0.3220,0.0000,0.9000,0.1695,30.7000,Low,37.7000,Normal,32.8000,Low
SUP-053,Sterling Shipping Lines,USA,Logistics,1349961.3600,290,0.8897,0.1103,0.3379,0.0034,0.8709,0.1345,30.1000,Low,36.8000,Normal,32.1000,Low
SUP-036,Golden Dragon Components,China,Electronics,11943662.4100,640,0.8750,0.1250,0.3172,0.0156,0.7999,0.1312,33.3000,Low,29.2000,Normal,32.1000,Low
SUP-052,Del Norte Logistics,Mexico,Logistics,3259532.5200,718,0.8997,0.1003,0.2646,0.0237,0.8762,0.1435,33.9000,Low,27.4000,Normal,31.9000,Low
SUP-045,Thames MRO Services,UK,MRO,468904.3800,177,0.8983,0.1017,0.2373,0.0226,0.7953,0.1243,33.3000,Low,28.3000,Normal,31.8000,Low
SUP-077,Bergmann Supplies Co,Germany,Office Supplies,116641.3300,121,0.9091,0.0909,0.1488,0.0000,0.6514,0.1736,29.1000,Low,35.8000,Normal,31.1000,Low
SUP-083,Krakow Chemicals,Poland,Chemicals,11017400.6300,1732,0.8949,0.1051,0.2714,0.0185,0.4829,0.1542,33.4000,Low,25.5000,Normal,31.0000,Low
SUP-032,Lotus Components,India,Electronics,11105069.0300,693,0.9004,0.0996,0.2742,0.0245,0.7844,0.1400,34.0000,Low,22.6000,Normal,30.6000,Low
SUP-009,Schwarzwald Metals,Germany,Raw Materials,4548352.3100,226,0.9027,0.0973,0.2168,0.0088,0.9876,0.1283,30.2000,Low,31.1000,Normal,30.5000,Low
SUP-059,Azteca Technologies,Mexico,IT Services,4325802.4200,591,0.9002,0.0998,0.2690,0.0102,0.6432,0.1032,30.1000,Low,30.2000,Normal,30.1000,Low
SUP-068,Mekong Supplies Co,Vietnam,Office Supplies,24136.6200,23,0.9130,0.0870,0.1739,0.0000,0.7775,0.1304,27.9000,Low,34.9000,Normal,30.0000,Low
SUP-093,Albion Chem Industries,UK,Chemicals,9495512.0600,1529,0.9026,0.0974,0.2230,0.0164,0.4869,0.1452,32.2000,Low,24.5000,Normal,29.9000,Low
SUP-048,Mekong Logistics,Vietnam,Logistics,324352.7200,59,0.8983,0.1017,0.1695,0.0000,0.8147,0.1356,28.7000,Low,32.1000,Normal,29.7000,Low
SUP-002,Taegu Alloys,South Korea,Raw Materials,83912380.8300,4172,0.8914,0.1086,0.2579,0.0146,1.0253,0.1371,32.3000,Low,23.6000,Normal,29.7000,Low
SUP-092,Apex Specialty Chem,USA,Chemicals,1465396.9200,259,0.8996,0.1004,0.2896,0.0077,0.4907,0.1429,30.6000,Low,26.4000,Normal,29.3000,Low
SUP-056,Apex Shipping Lines,USA,Logistics,1170242.7900,206,0.8981,0.1019,0.2039,0.0194,0.8509,0.1359,32.8000,Low,20.8000,Normal,29.2000,Low
SUP-069,Apex Supplies Co,USA,Office Supplies,135677.6600,155,0.8645,0.1355,0.2774,0.0065,0.7035,0.1484,32.2000,Low,21.7000,Normal,29.0000,Low
SUP-051,Shenzhou Transport,China,Logistics,10012041.2900,2212,0.8847,0.1153,0.2898,0.0149,0.8948,0.1325,32.6000,Low,19.8000,Normal,28.8000,Low
SUP-040,Ganga MRO Services,India,MRO,3252242.3900,1107,0.8808,0.1192,0.3107,0.0181,0.7775,0.1400,33.7000,Low,17.0000,Normal,28.7000,Low
SUP-039,Redwood Maintenance Co,USA,MRO,875849.4500,346,0.9133,0.0867,0.2254,0.0145,0.7726,0.1561,31.6000,Low,17.9000,Normal,27.5000,Low
SUP-060,Halong IT Solutions,Vietnam,IT Services,1161818.8600,172,0.8837,0.1163,0.3198,0.0058,0.6593,0.1395,31.0000,Low,18.9000,Normal,27.4000,Low
SUP-034,Pacific Rim Circuits,China,Electronics,12181112.8800,690,0.8928,0.1072,0.2754,0.0145,0.7722,0.1681,33.0000,Low,13.2000,Normal,27.1000,Low
SUP-057,Bharat Digital Systems,India,IT Services,11565869.7700,1649,0.9084,0.0916,0.2092,0.0127,0.6443,0.1322,30.9000,Low,16.0000,Normal,26.4000,Low
SUP-095,Busan Machinery,South Korea,Machinery,12149653.6300,1353,0.8854,0.1146,0.2676,0.0155,0.5632,0.1375,32.8000,Low,10.4000,Normal,26.1000,Low
SUP-054,Great Wall Shipping Lines,China,Logistics,1741708.3700,370,0.9027,0.0973,0.2135,0.0108,0.8850,0.1324,30.7000,Low,15.1000,Normal,26.0000,Low
SUP-050,Redwood Freight,USA,Logistics,4566720.9000,1047,0.8988,0.1012,0.2321,0.0115,0.9240,0.1557,31.7000,Low,12.3000,Normal,25.9000,Low
SUP-035,Pacific Rim Semitech,China,Electronics,3134437.0000,181,0.8895,0.1105,0.1989,0.0055,0.8087,0.1381,30.4000,Low,14.2000,Normal,25.5000,Low
SUP-024,Sterling Components,USA,Electronics,5970367.2500,330,0.8879,0.1121,0.3061,0.0091,0.7824,0.1242,31.1000,Low,11.3000,Normal,25.2000,Low
SUP-079,Great Wall Workplace,China,Office Supplies,1010624.7400,925,0.9049,0.0951,0.2151,0.0162,0.6660,0.1395,31.9000,Low,8.5000,Normal,24.9000,Low
SUP-074,Jade Harbor Workplace,China,Office Supplies,144871.0500,156,0.8910,0.1090,0.3013,0.0064,0.6435,0.1603,31.2000,Low,9.4000,Normal,24.7000,Low
SUP-061,Shenzhou IT Solutions,China,IT Services,5083778.6900,715,0.9007,0.0993,0.2322,0.0154,0.6468,0.1245,31.6000,Low,7.5000,Normal,24.4000,Low
SUP-072,Krakow Office Products,Poland,Office Supplies,2613675.0500,2462,0.8976,0.1024,0.2364,0.0110,0.6715,0.1527,31.6000,Low,6.6000,Normal,24.1000,Low
SUP-022,Redwood Components,USA,Electronics,8084096.0200,469,0.8827,0.1173,0.2751,0.0085,0.7719,0.1493,31.8000,Low,5.7000,Normal,24.0000,Low
SUP-025,Cascade Semitech,USA,Electronics,16010733.9100,855,0.8959,0.1041,0.2409,0.0140,0.8102,0.1322,31.8000,Low,4.7000,Normal,23.7000,Low
SUP-028,Summit Components,USA,Electronics,21206582.0000,1144,0.8872,0.1128,0.2552,0.0131,0.7844,0.1460,32.4000,Low,2.8000,Normal,23.5000,Low
SUP-044,Mekong Maintenance Co,Vietnam,MRO,908607.4500,345,0.8986,0.1014,0.2290,0.0116,0.7974,0.1478,31.5000,Low,3.8000,Normal,23.2000,Low
SUP-033,Busan Components,South Korea,Electronics,7735372.6300,479,0.8977,0.1023,0.2422,0.0125,0.7944,0.1461,31.7000,Low,1.9000,Normal,22.8000,Low
SUP-038,Bergmann MRO Services,Germany,MRO,5403804.6000,1820,0.8973,0.1027,0.2396,0.0137,0.7823,0.1445,32.0000,Low,0.9000,Normal,22.7000,Low
