po_id,order_date,promised_delivery_date,actual_delivery_date,supplier_id,supplier_name,supplier_country,category,item,business_unit,unit_price,quantity,line_total,payment_terms,on_contract,quality_rejected
PO-2023-00840,2023-01-01,2023-01-18,2023-01-18,SUP-092,Apex Specialty Chem,USA,Chemicals,Cleaning Agent (drum),Manufacturing,197.22,15,2958.3,Net 30,False,False
PO-2023-00835,2023-01-01,2023-01-23,2023-01-23,SUP-083,Krakow Chemicals,Poland,Chemicals,Coating Resin (drum),Retail Operations,712.93,8,5703.44,Net 45,True,True
PO-2023-00927,2023-01-01,2023-01-08,2023-01-08,SUP-097,Azteca Advisory,Mexico,Professional Services,Market Research Study,R&D,11648.48,1,11648.48,Net 60,True,False
PO-2023-00800,2023-01-01,2023-01-14,2023-01-14,SUP-086,Summit Chem Industries,USA,Chemicals,Cleaning Agent (drum),R&D,190.8,15,2862.0,Net 15,True,False
PO-2023-00796,2023-01-01,2023-01-22,2023-01-22,SUP-083,Krakow Chemicals,Poland,Chemicals,Adhesive Compound (drum),R&D,619.71,8,4957.68,Net 30,False,False
PO-2023-00776,2023-01-01,2023-01-14,2023-01-14,SUP-081,Redwood Specialty Chem,USA,Chemicals,Adhesive Compound (drum),Manufacturing,467.74,6,2806.44,Net 30,True,False
PO-2023-00102,2023-01-01,2023-01-31,2023-01-31,SUP-002,Taegu Alloys,South Korea,Raw Materials,Rubber Compound (per ton),Retail Operations,1584.82,8,12678.56,Net 30,True,False
PO-2023-00767,2023-01-01,2023-01-22,2023-01-22,SUP-083,Krakow Chemicals,Poland,Chemicals,Catalyst Powder (per 25kg),Field Services,980.63,3,2941.89,Net 30,False,False
PO-2023-00757,2023-01-01,2023-01-08,2023-01-08,SUP-076,Golden Dragon Supplies Co,China,Office Supplies,Office Chairs,R&D,142.99,8,1143.92,Net 45,True,False
PO-2023-00688,2023-01-01,2023-01-29,2023-01-29,SUP-072,Krakow Office Products,Poland,Office Supplies,Stationery Kit,Corporate,19.5,64,1248.0,Net 30,True,False
PO-2023-00661,2023-01-01,2023-01-10,2023-01-10,SUP-057,Bharat Digital Systems,India,IT Services,Cybersecurity Audit,Manufacturing,8273.06,1,8273.06,Net 45,True,False
PO-2023-00016,2023-01-01,2023-01-14,2023-01-14,SUP-002,Taegu Alloys,South Korea,Raw Materials,Aluminium Sheet (per ton),Field Services,2294.31,9,20648.79,Net 45,True,False
PO-2023-00250,2023-01-01,2023-01-31,2023-01-31,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,R&D,39.13,119,4656.47,Net 60,True,True
PO-2023-00262,2023-01-01,2023-01-07,2023-01-07,SUP-016,Great Wall Containers,China,Packaging,Printed Labels (per 1000),R&D,46.44,68,3157.92,Net 30,True,False
PO-2023-00148,2023-01-02,2023-01-13,2023-01-13,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),Manufacturing,664.15,7,4649.05,Net 30,True,False
PO-2023-00182,2023-01-02,2023-02-02,2023-02-02,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,Retail Operations,40.84,129,5268.36,Net 30,True,False
PO-2023-00173,2023-01-02,2023-01-24,2023-01-24,SUP-016,Great Wall Containers,China,Packaging,Wooden Pallets,R&D,15.86,258,4091.88,Net 30,False,False
PO-2023-00127,2023-01-02,2023-02-01,2023-02-01,SUP-006,Adler Metals,Germany,Raw Materials,Steel Coil (per ton),Field Services,834.68,18,15024.24,Net 30,True,False
PO-2023-00116,2023-01-02,2023-01-29,2023-01-29,SUP-002,Taegu Alloys,South Korea,Raw Materials,Copper Wire Rod (per ton),Corporate,8005.84,1,8005.84,Net 45,True,False
PO-2023-00084,2023-01-02,2023-02-03,2023-02-03,SUP-002,Taegu Alloys,South Korea,Raw Materials,Polypropylene Resin (per ton),R&D,970.42,7,6792.94,Net 60,True,False
PO-2023-00216,2023-01-02,2023-01-24,2023-01-24,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,R&D,41.87,167,6992.29,Net 45,False,False
PO-2023-00288,2023-01-02,2023-01-18,2023-01-22,SUP-024,Sterling Components,USA,Electronics,Connector Kit CK-8,Corporate,4.28,3457,14795.96,Net 45,True,False
PO-2023-00806,2023-01-02,2023-01-14,2023-01-14,SUP-083,Krakow Chemicals,Poland,Chemicals,Cleaning Agent (drum),Retail Operations,210.01,21,4410.21,Net 45,True,False
PO-2023-00293,2023-01-02,2023-01-22,2023-01-22,SUP-028,Summit Components,USA,Electronics,Connector Kit CK-8,Manufacturing,4.39,3138,13775.82,Net 45,True,False
PO-2023-00816,2023-01-02,2023-02-05,2023-02-05,SUP-083,Krakow Chemicals,Poland,Chemicals,Industrial Solvent (drum),Retail Operations,362.78,19,6892.82,Net 30,True,False
PO-2023-00771,2023-01-02,2023-02-02,2023-02-02,SUP-083,Krakow Chemicals,Poland,Chemicals,Coating Resin (drum),R&D,663.69,13,8627.97,Net 30,True,False
PO-2023-00644,2023-01-02,2023-01-28,2023-01-28,SUP-057,Bharat Digital Systems,India,IT Services,Network Equipment Bundle,Manufacturing,2947.42,1,2947.42,Net 45,True,False
PO-2023-00613,2023-01-02,2023-02-01,2023-02-01,SUP-055,Baltic Freight,Poland,Logistics,LTL Freight (per shipment),Manufacturing,473.55,6,2841.3,Net 60,True,False
PO-2023-00569,2023-01-02,2023-01-18,2023-01-18,SUP-051,Shenzhou Transport,China,Logistics,LTL Freight (per shipment),Field Services,380.69,7,2664.83,Net 45,True,False
PO-2023-00548,2023-01-02,2023-01-10,2023-01-10,SUP-055,Baltic Freight,Poland,Logistics,Last-Mile Delivery Batch,Retail Operations,271.0,13,3523.0,Net 30,False,False
PO-2023-00545,2023-01-02,2023-01-24,2023-01-24,SUP-054,Great Wall Shipping Lines,China,Logistics,Ocean Container (40ft),Manufacturing,3466.88,1,3466.88,Net 30,True,False
PO-2023-00291,2023-01-02,2023-01-28,2023-01-28,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,R&D,3.85,2301,8858.85,Net 15,True,False
PO-2023-00541,2023-01-02,2023-01-17,2023-01-17,SUP-051,Shenzhou Transport,China,Logistics,FTL Freight (per load),Field Services,1810.11,6,10860.66,Net 15,True,True
PO-2023-00499,2023-01-02,2023-01-20,2023-01-20,SUP-038,Bergmann MRO Services,Germany,MRO,Machine Lubricant (drum),Retail Operations,169.39,11,1863.29,Net 30,True,False
PO-2023-00467,2023-01-02,2023-01-22,2023-02-01,SUP-046,Thames Industrial Supply,UK,MRO,Industrial Bearings,Field Services,33.17,95,3151.15,Net 30,False,False
PO-2023-00076,2023-01-02,2023-01-31,2023-01-31,SUP-002,Taegu Alloys,South Korea,Raw Materials,Steel Coil (per ton),Manufacturing,753.57,33,24867.81,Net 60,True,False
PO-2023-00399,2023-01-02,2023-01-14,2023-01-14,SUP-040,Ganga MRO Services,India,MRO,Machine Lubricant (drum),Field Services,180.98,14,2533.72,Net 15,True,False
PO-2023-00398,2023-01-02,2023-01-09,2023-01-09,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),R&D,101.35,23,2331.05,Net 45,True,False
PO-2023-00392,2023-01-02,2023-01-28,2023-02-17,SUP-046,Thames Industrial Supply,UK,MRO,Machine Lubricant (drum),Field Services,166.08,14,2325.12,Net 60,True,False
PO-2023-00371,2023-01-02,2023-01-11,2023-01-11,SUP-033,Busan Components,South Korea,Electronics,Microcontroller MCU-9,Field Services,6.53,2540,16586.2,Net 45,False,False
PO-2023-00509,2023-01-02,2023-01-23,2023-01-23,SUP-040,Ganga MRO Services,India,MRO,Industrial Bearings,Retail Operations,38.1,33,1257.3,Net 30,True,False
PO-2023-00074,2023-01-02,2023-01-09,2023-01-09,SUP-002,Taegu Alloys,South Korea,Raw Materials,Rubber Compound (per ton),Corporate,1540.74,14,21570.36,Net 45,True,False
PO-2023-00452,2023-01-02,2023-01-13,2023-01-13,SUP-040,Ganga MRO Services,India,MRO,Hydraulic Fluid (drum),Field Services,229.29,19,4356.51,Net 45,True,False
PO-2023-00046,2023-01-02,2023-01-20,2023-01-20,SUP-002,Taegu Alloys,South Korea,Raw Materials,Rubber Compound (per ton),Retail Operations,1508.8,13,19614.4,Net 30,True,False
PO-2023-00061,2023-01-02,2023-01-16,2023-01-16,SUP-004,Azteca Alloys,Mexico,Raw Materials,Polypropylene Resin (per ton),R&D,1274.47,16,20391.52,Net 45,True,False
PO-2023-00050,2023-01-03,2023-01-21,2023-01-21,SUP-002,Taegu Alloys,South Korea,Raw Materials,Rubber Compound (per ton),Manufacturing,1572.47,8,12579.76,Net 45,True,False
PO-2023-00707,2023-01-03,2023-01-22,2023-01-22,SUP-079,Great Wall Workplace,China,Office Supplies,Office Chairs,Retail Operations,165.39,12,1984.68,Net 45,True,False
PO-2023-00030,2023-01-03,2023-02-03,2023-02-03,SUP-002,Taegu Alloys,South Korea,Raw Materials,Copper Wire Rod (per ton),R&D,8449.98,1,8449.98,Net 45,True,False
PO-2023-00478,2023-01-03,2023-01-20,2023-01-20,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),Corporate,101.63,41,4166.83,Net 15,True,False
PO-2023-00055,2023-01-03,2023-01-28,2023-01-28,SUP-006,Adler Metals,Germany,Raw Materials,Rubber Compound (per ton),Retail Operations,1814.07,12,21768.84,Net 45,True,False
PO-2023-00804,2023-01-03,2023-01-30,2023-01-30,SUP-083,Krakow Chemicals,Poland,Chemicals,Catalyst Powder (per 25kg),Field Services,955.05,4,3820.2,Net 60,True,False
PO-2023-00506,2023-01-03,2023-01-09,2023-01-27,SUP-046,Thames Industrial Supply,UK,MRO,Industrial Bearings,Retail Operations,35.09,49,1719.41,Net 60,True,False
PO-2023-00168,2023-01-03,2023-02-06,2023-02-06,SUP-016,Great Wall Containers,China,Packaging,Wooden Pallets,Manufacturing,15.44,152,2346.88,Net 45,True,False
PO-2023-00562,2023-01-03,2023-01-16,2023-01-16,SUP-050,Redwood Freight,USA,Logistics,Air Freight (per 100kg),Corporate,534.9,7,3744.3,Net 45,False,False
PO-2023-00777,2023-01-03,2023-01-16,2023-01-16,SUP-082,Himalaya Chemicals,India,Chemicals,Adhesive Compound (drum),R&D,491.72,7,3442.04,Net 15,True,False
PO-2023-00605,2023-01-03,2023-01-16,2023-01-16,SUP-049,Han River Freight,South Korea,Logistics,LTL Freight (per shipment),Field Services,395.51,7,2768.57,Net 45,True,False
PO-2023-00769,2023-01-03,2023-01-23,2023-01-23,SUP-081,Redwood Specialty Chem,USA,Chemicals,Cleaning Agent (drum),Retail Operations,172.26,20,3445.2,Net 60,True,False
PO-2023-00609,2023-01-03,2023-01-31,2023-01-31,SUP-050,Redwood Freight,USA,Logistics,LTL Freight (per shipment),Corporate,392.12,6,2352.72,Net 15,True,False
PO-2023-00013,2023-01-03,2023-01-10,2023-01-10,SUP-003,Jade Harbor Alloys,China,Raw Materials,Copper Wire Rod (per ton),Field Services,9789.74,3,29369.22,Net 15,True,False
PO-2023-00638,2023-01-03,2023-02-03,2023-02-03,SUP-057,Bharat Digital Systems,India,IT Services,Cloud Hosting (monthly block),Corporate,4296.04,1,4296.04,Net 60,True,False
PO-2023-00668,2023-01-03,2023-01-17,2023-01-17,SUP-061,Shenzhou IT Solutions,China,IT Services,"SaaS Licences (per seat, annual)",Field Services,413.46,25,10336.5,Net 45,False,False
PO-2023-00693,2023-01-03,2023-01-29,2023-01-29,SUP-075,Lotus Office Products,India,Office Supplies,Whiteboard & Supplies,Field Services,60.13,5,300.65,Net 30,True,False
PO-2023-00824,2023-01-03,2023-01-28,2023-01-28,SUP-094,Shenzhou Chem Industries,China,Chemicals,Coating Resin (drum),Manufacturing,669.18,2,1338.36,Net 15,True,False
PO-2023-00195,2023-01-03,2023-01-29,2023-01-29,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),R&D,618.84,12,7426.08,Net 30,True,False
PO-2023-00731,2023-01-03,2023-01-15,2023-01-15,SUP-072,Krakow Office Products,Poland,Office Supplies,Toner Cartridges,Field Services,85.14,20,1702.8,Net 30,False,False
PO-2023-00328,2023-01-03,2023-01-31,2023-01-31,SUP-028,Summit Components,USA,Electronics,Connector Kit CK-8,Retail Operations,4.6,2297,10566.2,Net 45,True,False
PO-2023-00323,2023-01-03,2023-02-02,2023-02-02,SUP-032,Lotus Components,India,Electronics,Sensor Module SM-3,Corporate,20.81,291,6055.71,Net 30,True,False
PO-2023-00298,2023-01-03,2023-01-17,2023-01-17,SUP-032,Lotus Components,India,Electronics,Microcontroller MCU-9,Manufacturing,6.46,3231,20872.26,Net 45,True,False
PO-2023-00041,2023-01-03,2023-02-05,2023-02-05,SUP-002,Taegu Alloys,South Korea,Raw Materials,Aluminium Sheet (per ton),Manufacturing,2258.12,2,4516.24,Net 60,True,False
PO-2023-00350,2023-01-03,2023-01-14,2023-01-14,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Manufacturing,61.25,136,8330.0,Net 30,True,False
PO-2023-00289,2023-01-03,2023-01-29,2023-01-29,SUP-036,Golden Dragon Components,China,Electronics,Connector Kit CK-8,Corporate,4.65,2099,9760.35,Net 30,True,False
PO-2023-00205,2023-01-03,2023-01-10,2023-01-10,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),R&D,654.04,9,5886.36,Net 60,True,False
PO-2023-00358,2023-01-03,2023-01-15,2023-01-21,SUP-029,Great Wall Components,China,Electronics,PCB Assembly A-11,Retail Operations,55.31,566,31305.46,Net 30,True,False
PO-2023-00941,2023-01-03,2023-01-08,2023-01-08,SUP-097,Azteca Advisory,Mexico,Professional Services,Legal Advisory (retainer),Field Services,7750.46,1,7750.46,Net 60,True,False
PO-2023-00242,2023-01-03,2023-02-06,2023-02-06,SUP-016,Great Wall Containers,China,Packaging,Printed Labels (per 1000),Field Services,45.87,74,3394.38,Net 45,True,False
PO-2023-00869,2023-01-03,2023-01-27,2023-01-27,SUP-095,Busan Machinery,South Korea,Machinery,Precision Jig Set,Corporate,2116.36,1,2116.36,Net 30,True,False
PO-2023-00915,2023-01-04,2023-01-25,2023-01-25,SUP-102,Frontier Consulting,USA,Professional Services,Recruitment Fee,R&D,4923.98,1,4923.98,Net 30,True,False
PO-2023-00306,2023-01-04,2023-01-11,2023-01-11,SUP-033,Busan Components,South Korea,Electronics,Sensor Module SM-3,Manufacturing,19.88,608,12087.04,Net 30,True,False
PO-2023-00656,2023-01-04,2023-01-30,2023-01-30,SUP-057,Bharat Digital Systems,India,IT Services,Cloud Hosting (monthly block),R&D,4582.92,1,4582.92,Net 30,True,False
PO-2023-00622,2023-01-04,2023-01-17,2023-01-17,SUP-057,Bharat Digital Systems,India,IT Services,Cloud Hosting (monthly block),Field Services,4306.36,1,4306.36,Net 30,True,False
PO-2023-00137,2023-01-04,2023-02-01,2023-02-17,SUP-008,Fujikawa Resources,Japan,Raw Materials,Polypropylene Resin (per ton),Manufacturing,1326.83,5,6634.15,Net 60,True,False
PO-2023-00616,2023-01-04,2023-02-03,2023-02-06,SUP-051,Shenzhou Transport,China,Logistics,Last-Mile Delivery Batch,Corporate,270.93,13,3522.09,Net 45,True,False
PO-2023-00230,2023-01-04,2023-01-28,2023-01-28,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,Corporate,36.64,96,3517.44,Net 30,True,False
PO-2023-00258,2023-01-04,2023-01-16,2023-01-16,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,Corporate,40.94,163,6673.22,Net 45,True,False
PO-2023-00698,2023-01-04,2023-01-16,2023-01-16,SUP-076,Golden Dragon Supplies Co,China,Office Supplies,Stationery Kit,Corporate,17.6,45,792.0,Net 60,True,False
PO-2023-00263,2023-01-04,2023-02-05,2023-02-05,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,Field Services,41.25,151,6228.75,Net 45,True,False
PO-2023-00397,2023-01-04,2023-01-29,2023-01-29,SUP-040,Ganga MRO Services,India,MRO,Safety Gloves (per 100),Retail Operations,107.95,33,3562.35,Net 15,False,False
PO-2023-00196,2023-01-04,2023-01-25,2023-01-25,SUP-016,Great Wall Containers,China,Packaging,Bubble Wrap Rolls,Manufacturing,28.54,158,4509.32,Net 45,True,False
PO-2023-00540,2023-01-04,2023-02-01,2023-02-01,SUP-052,Del Norte Logistics,Mexico,Logistics,LTL Freight (per shipment),Corporate,385.59,7,2699.13,Net 30,True,False
PO-2023-00507,2023-01-04,2023-01-16,2023-01-16,SUP-038,Bergmann MRO Services,Germany,MRO,Industrial Bearings,Manufacturing,36.8,103,3790.4,Net 60,True,False
PO-2023-00354,2023-01-04,2023-01-26,2023-01-26,SUP-036,Golden Dragon Components,China,Electronics,Microcontroller MCU-9,Field Services,8.37,1604,13425.48,Net 30,True,False
PO-2023-00492,2023-01-04,2023-01-21,2023-01-21,SUP-044,Mekong Maintenance Co,Vietnam,MRO,Conveyor Belt Section,Manufacturing,480.31,7,3362.17,Net 45,True,False
PO-2023-00207,2023-01-04,2023-01-28,2023-01-28,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),Corporate,674.11,10,6741.1,Net 30,True,False
PO-2023-00461,2023-01-04,2023-01-21,2023-01-21,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),Field Services,108.13,16,1730.08,Net 45,False,False
PO-2023-00458,2023-01-04,2023-01-09,2023-01-09,SUP-039,Redwood Maintenance Co,USA,MRO,Industrial Bearings,Retail Operations,32.43,54,1751.22,Net 30,True,False
PO-2023-00389,2023-01-04,2023-01-18,2023-01-18,SUP-038,Bergmann MRO Services,Germany,MRO,Hydraulic Fluid (drum),Manufacturing,233.76,7,1636.32,Net 30,True,False
PO-2023-00454,2023-01-04,2023-02-07,2023-02-11,SUP-046,Thames Industrial Supply,UK,MRO,Machine Lubricant (drum),Field Services,198.57,18,3574.26,Net 30,False,False
PO-2023-00426,2023-01-04,2023-02-03,2023-02-03,SUP-038,Bergmann MRO Services,Germany,MRO,Hydraulic Fluid (drum),Manufacturing,239.1,10,2391.0,Net 60,True,False
PO-2023-00403,2023-01-04,2023-02-04,2023-02-04,SUP-040,Ganga MRO Services,India,MRO,Hydraulic Fluid (drum),Field Services,224.5,19,4265.5,Net 45,True,False
PO-2023-00160,2023-01-04,2023-01-16,2023-01-16,SUP-016,Great Wall Containers,China,Packaging,Stretch Film Rolls,Retail Operations,38.4,28,1075.2,Net 30,True,False
PO-2023-00460,2023-01-04,2023-01-12,2023-01-12,SUP-038,Bergmann MRO Services,Germany,MRO,Safety Gloves (per 100),R&D,109.09,22,2399.98,Net 45,False,False
PO-2023-00021,2023-01-04,2023-01-24,2023-01-24,SUP-002,Taegu Alloys,South Korea,Raw Materials,Steel Coil (per ton),R&D,706.49,11,7771.39,Net 30,True,False
PO-2023-00879,2023-01-04,2023-01-09,2023-01-09,SUP-102,Frontier Consulting,USA,Professional Services,Recruitment Fee,Retail Operations,5033.63,1,5033.63,Net 30,True,False
PO-2023-00064,2023-01-04,2023-01-23,2023-01-23,SUP-002,Taegu Alloys,South Korea,Raw Materials,Polypropylene Resin (per ton),Corporate,1033.62,22,22739.64,Net 30,True,False
PO-2023-00120,2023-01-04,2023-02-02,2023-02-02,SUP-002,Taegu Alloys,South Korea,Raw Materials,Copper Wire Rod (per ton),Manufacturing,8074.45,2,16148.9,Net 30,True,False
PO-2023-00783,2023-01-04,2023-01-29,2023-01-29,SUP-082,Himalaya Chemicals,India,Chemicals,Catalyst Powder (per 25kg),R&D,822.33,4,3289.32,Net 60,True,False
PO-2023-00910,2023-01-04,2023-01-12,2023-01-12,SUP-097,Azteca Advisory,Mexico,Professional Services,Audit & Compliance Review,Retail Operations,9666.2,1,9666.2,Net 30,True,False
PO-2023-00106,2023-01-04,2023-01-11,2023-01-11,SUP-002,Taegu Alloys,South Korea,Raw Materials,Aluminium Sheet (per ton),Field Services,2141.63,8,17133.04,Net 30,False,False
PO-2023-00863,2023-01-04,2023-01-24,2023-01-24,SUP-095,Busan Machinery,South Korea,Machinery,Robotic Arm Servicing,Manufacturing,7616.32,1,7616.32,Net 45,True,False
PO-2023-00807,2023-01-04,2023-01-15,2023-01-16,SUP-083,Krakow Chemicals,Poland,Chemicals,Catalyst Powder (per 25kg),Field Services,1009.9,4,4039.6,Net 45,False,False
PO-2023-00085,2023-01-04,2023-02-02,2023-02-02,SUP-002,Taegu Alloys,South Korea,Raw Materials,Steel Coil (per ton),Manufacturing,761.21,31,23597.51,Net 45,True,False
PO-2023-00865,2023-01-04,2023-01-19,2023-01-19,SUP-095,Busan Machinery,South Korea,Machinery,Compressor Unit,Retail Operations,10397.99,1,10397.99,Net 45,True,False
PO-2023-00380,2023-01-05,2023-02-07,2023-02-27,SUP-029,Great Wall Components,China,Electronics,Connector Kit CK-8,R&D,3.9,2499,9746.1,Net 15,True,False
PO-2023-00221,2023-01-05,2023-01-21,2023-01-24,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),Corporate,645.96,11,7105.56,Net 30,True,False
PO-2023-00311,2023-01-05,2023-02-03,2023-02-03,SUP-022,Redwood Components,USA,Electronics,PCB Assembly A-11,Field Services,43.8,522,22863.6,Net 15,False,False
PO-2023-00314,2023-01-05,2023-01-27,2023-01-27,SUP-022,Redwood Components,USA,Electronics,Power Supply Unit 450W,Field Services,57.94,140,8111.6,Net 45,True,False
PO-2023-00854,2023-01-05,2023-02-08,2023-02-10,SUP-095,Busan Machinery,South Korea,Machinery,Compressor Unit,Retail Operations,10105.91,1,10105.91,Net 30,True,False
PO-2023-00308,2023-01-05,2023-01-10,2023-01-10,SUP-025,Cascade Semitech,USA,Electronics,Sensor Module SM-3,Manufacturing,22.76,407,9263.32,Net 30,False,False
PO-2023-00578,2023-01-05,2023-01-12,2023-01-12,SUP-051,Shenzhou Transport,China,Logistics,FTL Freight (per load),Retail Operations,1757.05,4,7028.2,Net 60,True,False
PO-2023-00384,2023-01-05,2023-01-25,2023-01-25,SUP-034,Pacific Rim Circuits,China,Electronics,Connector Kit CK-8,Manufacturing,4.3,4293,18459.9,Net 45,True,False
PO-2023-00325,2023-01-05,2023-01-26,2023-01-26,SUP-032,Lotus Components,India,Electronics,Connector Kit CK-8,Corporate,3.48,3173,11042.04,Net 30,True,False
PO-2023-00856,2023-01-05,2023-01-14,2023-01-14,SUP-095,Busan Machinery,South Korea,Machinery,Injection Mould Tooling,Retail Operations,13702.83,1,13702.83,Net 60,True,False
PO-2023-00546,2023-01-05,2023-01-11,2023-01-11,SUP-055,Baltic Freight,Poland,Logistics,FTL Freight (per load),Corporate,2076.68,2,4153.36,Net 60,True,False
PO-2023-00024,2023-01-05,2023-01-13,2023-01-13,SUP-002,Taegu Alloys,South Korea,Raw Materials,Steel Coil (per ton),Retail Operations,671.8,33,22169.4,Net 60,False,False
PO-2023-00798,2023-01-05,2023-01-20,2023-01-20,SUP-083,Krakow Chemicals,Poland,Chemicals,Industrial Solvent (drum),Manufacturing,403.06,19,7658.14,Net 30,True,False
PO-2023-00349,2023-01-05,2023-01-15,2023-01-15,SUP-025,Cascade Semitech,USA,Electronics,Connector Kit CK-8,R&D,4.55,4101,18659.55,Net 60,False,False
PO-2023-00779,2023-01-05,2023-01-17,2023-01-17,SUP-087,Jade Harbor Specialty Chem,China,Chemicals,Industrial Solvent (drum),Field Services,314.24,21,6599.04,Net 15,False,False
PO-2023-00163,2023-01-05,2023-01-11,2023-01-11,SUP-016,Great Wall Containers,China,Packaging,Corrugated Boxes (per 1000),R&D,670.29,11,7373.19,Net 30,True,False
